JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2415821.3334,2.92,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415821.3310,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.2966,3.40,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.2940,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3076,3.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3050,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3526,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3500,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3636,3.25,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3610,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3746,3.07,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3720,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.3876,3.00,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.3850,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.4456,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415824.4596,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415824.4570,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.3651,2.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3660,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.3801,2.71,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.3810,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4081,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4090,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4251,2.59,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4260,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4551,2.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4560,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4701,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4710,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4821,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4830,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.4981,3.06,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.4990,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5151,2.98,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5160,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5281,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5290,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5431,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5440,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5601,3.29,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5610,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5691,3.36,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5700,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5831,3.39,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5840,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5921,3.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5930,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.5971,3.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.5980,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.6051,3.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.6060,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.6161,3.64,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.6170,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.6251,3.33,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.6260,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.6291,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.6300,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415990.6391,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415990.6400,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2415996.3396,3.36,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2415996.3410,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.3019,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.3050,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.3159,2.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.3190,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.3319,2.82,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.3350,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.3889,3.29,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.3920,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.4099,3.44,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.4130,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.4259,3.58,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.4290,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.4549,3.36,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.4580,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.4799,3.37,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.4830,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.5139,3.21,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.5170,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416016.5469,2.82,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 71.  HARVARD PHOTOMETRY.,,,Z,,,2416016.5500,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.3605,3.45,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.3650,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.3815,3.55,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.3860,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.3955,3.32,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.4000,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.4225,2.98,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.4270,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.4365,2.89,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.4410,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.4615,2.78,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.4660,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416039.4855,2.68,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416039.4900,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416082.3848,3.47,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416082.3900,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416082.4028,3.39,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416082.4080,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416082.4128,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416082.4180,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416082.4368,3.25,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416082.4420,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416082.4618,2.92,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416082.4670,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5074,3.01,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5120,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5244,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5290,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5384,3.32,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5514,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5560,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5714,3.51,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5760,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.5814,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.5860,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416099.6514,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416099.6560,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416128.2262,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416128.2290,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416128.3042,2.86,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416128.3070,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416128.3172,2.86,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416128.3200,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416128.3402,2.70,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416128.3430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416128.3712,2.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416128.3740,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416148.3329,3.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416148.3340,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416148.3509,3.30,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416148.3520,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416148.3919,2.71,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416148.3930,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.3275,2.33,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.3270,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.3675,2.53,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.3670,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.4135,2.99,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.4130,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.4465,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.4460,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.4915,3.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.4910,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416165.5105,3.63,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416165.5100,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416380.5240,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416380.5270,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416380.5390,3.23,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416380.5420,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416380.5590,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416380.5620,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416380.5640,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416380.5670,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416380.5710,3.52,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416380.5740,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416383.3748,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416383.3780,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416383.4188,3.19,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416383.4220,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416383.4518,3.50,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416383.4550,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416386.4026,2.73,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416386.4060,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416386.4646,2.60,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416386.4680,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416403.3866,2.55,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416403.3910,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416403.4026,2.65,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416403.4070,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416495.2893,3.23,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416495.2920,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416495.3513,2.95,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416495.3540,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.4876,3.12,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.4870,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5016,3.23,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5010,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5156,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5150,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5256,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5250,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5536,3.25,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5530,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5676,3.32,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5670,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.5846,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.5840,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.6026,3.41,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.6020,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416704.6166,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416704.6160,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416750.4187,3.31,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416750.4220,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416750.4397,3.40,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416750.4430,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416750.4547,3.48,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416750.4580,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2416750.4687,3.39,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2416750.4720,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5334,3.02,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5330,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5464,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5460,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5594,3.30,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5590,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5694,3.39,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5690,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5804,3.48,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5800,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.5904,3.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.5900,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.6014,3.66,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.6010,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.6084,3.63,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.6080,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417071.6184,3.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417071.6180,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417094.3944,2.67,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417094.3960,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417094.4694,3.13,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417094.4710,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.3771,3.22,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.3790,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.4031,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.4050,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.4131,3.61,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.4150,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.4431,3.44,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.4450,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.4581,3.01,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.4600,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417097.4861,2.71,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417097.4880,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417140.4503,3.29,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417140.4550,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417140.4693,3.24,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417140.4740,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417166.3157,3.00,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417166.3210,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417166.3467,2.67,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417166.3520,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.2740,3.43,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.2790,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.3020,3.54,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.3070,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.3320,3.34,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.3370,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.3540,2.74,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.3590,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.3800,2.59,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.3850,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417186.3960,2.61,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417186.4010,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417206.4510,2.84,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417206.4550,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417206.4650,2.69,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 72.  HARVARD PHOTOMETRY.,,,Z,,,2417206.4690,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417249.3514,3.48,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 73.  HARVARD PHOTOMETRY.,,,Z,,,2417249.3520,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417249.3614,3.27,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 73.  HARVARD PHOTOMETRY.,,,Z,,,2417249.3620,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
2417249.3714,3.42,,,Vis.,VAJ,,NA,,NA,OBS. ON P. 73.  HARVARD PHOTOMETRY.,,,Z,,,2417249.3720,BET PER,AAVSO,STD,,1930JO.....13...68V,PKV,
